"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.543916050343","","","","","","","","","","23.7598228894889","23.7136969742878","25.4695566527171","23.4233484437677","25.1001705309838","25.0173279259981","23.9471499007561","22.8543725382221","24.555558688749","24.1094924891912","25.2993097570055","","","",
"Afghanistan","AFG","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.5781737687622","24.2432588226125","50.7192978736512","44.3178392396772","50.8630045999057","59.4847758807514","42.3292514484608","42.0936844468805","44.5892994893339","37.0225695736427","43.9227656125389","39.2201099807684","","","","","",
"","AFW","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6524460019801","21.8300194095745","29.0157756429379","21.1229588884631","25.9032762953933","16.1454402407842","20.8255646807053","19.0326436506387","20.8230172371605","22.3855333293293","25.5005028381804","25.6491757416689","26.671321487158","23.4498300606546","28.2092373749944","27.967359355335","20.8188316179919","17.5116639833286","16.671137232855","15.6076580956447","16.6849522138374","","","",
"Albanie","ALB","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.8909560055278","21.0782030691562","25.5827202375922","30.0333024986488","","","","24.8318781136964","22.9013763430706","22.7939219866713","","","","","","","23.0111069763437","23.007590723666","24.1607729474324","24.3826654387392","24.4461757489854","23.9567294338323","23.8675876185324","23.2668144479125","23.1506546473696","24.7325637517413","24.5363331196553","",
"Andorre","AND","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Le monde arabe","ARB","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.9008293531346","23.5654861121163","","","","","","","",
"Émirats arabes unis","ARE","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.05387363605581","6.54878847413229","6.20006062052198","","","","","","","","","","","","4.00926138824681","4.1377317382959","3.90972548786486","3.79210885733765","4.14789859165102","4.31828112482084","4.01528734019957","3.91824991336812","4.25932372174911","5.25917164743154","4.33677211641606","",
"Argentine","ARG","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3254404487432","11.2055409345172","11.8011099217048","14.2818561185834","14.9007924176507","15.5112306915719","15.1655476442657","15.0142218610321","15.0988005449104","16.7436856974566","16.8328883767368","16.9923529034125","19.6771706443151","19.8373029880995","16.8763416365527","","","","","","","","","","24.5697808575806","25.0083932347048","26.1799164832469","24.2825320419979","22.6877806247463","22.036480926619","25.8405307644744","22.8339762877199","",
"Arménie","ARM","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.9559988456693","18.1464405215631","17.1482192993136","17.0424253804612","21.1396851697465","23.8619179943921","22.9973623470093","22.5680163171222","21.3736421560682","22.6371817977093","23.9875580530759","25.0779813488419","25.7115181584805","22.6297249923647","22.0768137564949","21.7584805720085","26.5812877778437","24.968529504044","",
"Samoa américaines","ASM","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua-et-Barbuda","ATG","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australie","AUS","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","18.0595775248614","18.4624648735448","18.1438653457473","21.2742965405936","23.6478379805154","23.6208850035862","24.5017038207466","23.7016951436198","23.364930318248","23.5609551188648","23.2933576712897","25.5749371739911","26.4724876688225","26.4243402195376","26.1271069165513","25.6938114844266","24.1974045820342","22.1842373226529","21.8161825572345","23.1661774868114","24.4370627801101","24.9693283298178","25.0924217388789","25.3859061079448","24.5632541793564","23.8055203758095","21.3271332563981","24.5019756934226","24.0288588355662","26.178184398687","26.3570697710081","25.7046374833771","25.6056957095855","25.5544917995941","24.8991331402532","24.4470502459544","24.3225624327649","26.4666361724409","26.7037775005922","25.9949064287129","26.1170321923814","25.8771533290622","26.2516917287358","26.7548575673665","26.9674658938018","26.6077556954787","26.1940724131051","26.1399498062093","30.210450680692","32.5848855450785","27.6268300345317",
"Autriche","AUT","Dépenses (% du PIB)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","25.9154023613309","27.6120908554838","27.9038754891101","31.1084772401006","31.6191569074545","31.4136614535884","33.851749395445","33.3224233199091","33.4739415355526","34.5654437055633","34.9966350904155","35.4160012858175","35.7051302388211","35.5729953462687","36.2747020742246","36.8555837633843","37.1699418693453","35.7534636839964","35.59127017012","36.0426098868946","36.6971489195952","38.7564718347994","38.6749163266011","48.718401551452","48.7386551439875","47.5228026402187","47.2509965921999","47.1087352314622","46.2637884393769","46.6155822276541","45.9729061942825","46.0361284875525","48.6070087732423","45.9123787174206","45.188096157763","43.9779149065683","44.5742438153401","47.8483531787954","46.4268097130133","45.5076870354388","46.1450485455905","46.6216222891406","47.5011876922336","46.2684510027225","44.9967848869132","44.3298871104373","43.7247103743727","43.555519050758","50.5746511721568","50.0833897976174","",
